PeriMac_YF1	PeriMac_YF2	PeriMac_YF3	PeriMac_YF4	PeriMac_YF5	PeriMac_OF1	PeriMac_OF2	PeriMac_OF3	PeriMac_OF4	PeriMac_OF5	PeriMac_YM1	PeriMac_YM2	PeriMac_YM3	PeriMac_YM4	PeriMac_YM5	PeriMac_OM1	PeriMac_OM2	PeriMac_OM3	PeriMac_OM4	PeriMac_OM5
Ube2w	9.18618912699989	9.41458943420002	9.18981010497667	9.3773403781709	9.30238951447187	9.07644522284298	9.0980816125959	9.12926006118531	9.12707451446917	9.32099314164652	8.97476692350867	9.34780201430997	9.18095153115645	9.25678249130518	9.28623171339495	9.1445466385278	9.09804941998678	9.13805072212372	9.3259297644169	8.99201663496316
Tceb1	8.09686738755163	8.35177999954866	8.12578275635517	8.26816398600273	8.14053855676505	8.11481211344757	8.26014490923763	8.07258063603651	8.22801678439854	8.278986300801	8.04835464338201	8.22319953635948	8.11086590587678	8.34102842103057	8.36222597904559	8.10520262964247	8.21797922831212	8.21498415839458	8.2240843234519	8.30314804983997
Tmem70	8.18509414664653	8.25135014103769	8.21215660994746	8.46962001750565	8.2657437942082	8.24737577187959	8.16380622886542	8.24145380300381	8.39435774260178	8.22896843932954	8.17933910396243	8.28166199069666	8.37829398087788	8.22231300978554	8.30857699736402	8.20166398399317	8.27127735189944	8.47170628105581	8.40583780633886	8.3859679338916
Ly96	7.80252631155182	8.10056098707176	8.29340150532674	8.23046808597769	8.32659814133894	7.94176609733135	8.14633578838653	8.38650254206205	8.12304978722781	8.23320693762292	7.87227571447221	8.13789490222183	8.20592529356074	7.93465402470693	8.18176669018668	7.72214429691494	7.78385232915943	7.83268399675598	8.11224948803768	7.89587210671339
Jph1	6.24126519483214	6.55054237927495	6.71840745722774	6.67072375342521	6.38122945043998	6.30362082135332	6.31705769125264	6.58747730229681	6.24669903791537	6.30170289250655	5.58690194766628	6.35382617419206	6.31711344886942	6.24667446073599	6.54132362394779	6.06313981710046	6.1093563236864	6.58877515458518	6.42100282603211	6.02971380151948
Mcm3	9.78785422806752	9.99963329098076	9.20755707164483	9.39135958649419	9.34523864125769	10.1534053880694	9.25980174487597	9.34337666272671	9.55951756465795	9.73339695019082	10.3567035005983	10.071065873946	9.57589349005968	9.83811754145296	9.5539661980486	10.2059997637065	10.2203829040413	9.92140371203454	9.60874073818592	10.6143453669521
Paqr8	6.29270931712563	5.77228959141093	6.18488539523717	6.05789518930396	5.94571450846615	6.32824567309003	6.29278968667585	6.18646173669462	6.05546336976609	6.05756015032463	6.32939812226345	6.49023253954042	6.21140954748408	6.20953289418458	6.12293837607738	6.63353986012617	5.98275896716774	6.24599110034938	6.14287716993903	6.02971380151948
Efhc1	6.01138875571518	6.03946176522227	5.97996552446691	5.92068052309363	5.94571450846615	6.01803556061061	6.05162549715949	6.22721233373853	6.19007173517113	5.58690194766628	6.08103626478578	5.9331023466135	5.97118896018585	6.24667446073599	6.08867440981202	5.78206035948981	5.98275896716774	5.98653404227152	6.00828575891057	5.58690194766628
Tram2	7.97284968355664	8.01609989083175	7.81157787856765	7.65048383751416	7.9850981011316	8.20893913876955	8.10618762886537	8.01127536229632	8.05785877918475	8.00325818402488	8.01117488377899	8.08808875813402	7.78521089688613	7.97583757611753	7.7512261839945	8.29591389321089	8.2134427589141	8.21034990509508	7.7071121330103	7.97285521702587
Tmem14a	5.85595039321479	5.90756327354577	6.04030946911055	6.11291164020027	5.94571450846615	6.3520123478663	6.18515897990401	6.09465221239686	5.97003756637748	6.0168669661997	6.04469776441628	6.27444051066352	6.08204853930754	6.16987595664614	6.26781666873264	6.13599407768112	6.02913976748817	6.15028907259477	5.95215335263379	5.90062922757764
