baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F	baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Stau2	252.219801657945	-0.00091400448034884	0.00740302401924925	-0.123463665384883	0.901739944937707	0.991237894840908	253.553113321315	-0.00998765836841027	0.00740724669061826	-1.34836313485553	0.17754161494533	0.524564171585775
Ube2w	492.141761501729	-0.0106496060782503	0.00576623800792388	-1.84688978561339	0.0647631154226541	0.517667581014845	503.546512152788	-0.00537090256852587	0.0070230998481221	-0.764748143223678	0.444421532288775	0.754619387800159
Tceb1	199.141813834253	-0.000710147905162291	0.00722587108879329	-0.0982785184562273	0.92171113538288	0.99298557365535	216.243042692387	-0.00096666792404626	0.0075760845477863	-0.127594658949354	0.898469758124209	0.971588695951075
Tmem70	213.382775416726	-0.00235134652524776	0.00683534446236634	-0.343998248836423	0.730847603045645	0.980641945700549	236.682767240923	0.0061684844453617	0.00689251364589579	0.894954259399223	0.370811539754936	0.7035882667391
Ly96	193.795631746869	0.000963059990638599	0.0100663748370341	0.0956709844635941	0.923781886209739	0.993217274220755	170.567839948024	-0.0184389082235556	0.00974422456574335	-1.89229097699361	0.0584522224795775	0.333347627926717
Jph1	17.2621590332279	-0.0358492949292038	0.0242309085195834	-1.47948620664514	0.139010415151397	0.692808398880856	11.9162952531511	-0.00264039414523919	0.0462941283960656	-0.0570351843034934	0.954517167725926	0.990559463386967
Mcm3	669.675618948281	0.00469314670372476	0.0126776951021598	0.370189270676278	0.711241470392934	0.978500446791056	987.405429255273	0.0163017081953237	0.0136968366727262	1.19018052013312	0.233975447853723	0.583388335628404
Paqr8	7.03089311408541	0.03823610525161	0.0381885597604346	1.00124501922758	0.316708366525998	0.861447181580895	11.2981235878939	-0.00834747738610396	0.0360656279552793	-0.231452434335947	0.816963334090193	0.942983478763209
Tram2	162.296418767105	0.0164016448485426	0.00822566925764077	1.99395870838196	0.0461565671983654	0.447819590495617	176.971347802814	0.0152453194739302	0.0113794860470797	1.33971951025351	0.180336552119494	0.528730174654784
Tmem14a	5.26758964006948	0.0675841703585214	0.0393670041032052	1.71677199975242	0.0860208388703104	0.58293892906197	6.70902138078219	-0.044822599158485	0.0331870132337387	-1.35060660152801	0.176821484993069	0.524133561220722
Ogfrl1	867.565956209056	-0.0146612919418054	0.00804173688357997	-1.82314991823987	0.0682806878807075	0.530847778137695	653.244598560292	-0.0217264403316465	0.012824623427456	-1.69411916494427	0.0902426412322788	0.402297230313226
B3gat2	12.340335169716	-0.0124956846203986	0.0235505704294588	-0.53058946736883	0.595703296030002	0.960512457371282	13.9813136341311	-0.0433679248647223	0.0222145947374778	-1.95222669498252	0.0509112961502585	0.315469996184509
Smap1	713.395268559662	-0.000176851699703008	0.00417018357522116	-0.0424086125977389	0.966172962667428	0.996542329936047	761.631200602648	9.46952908399849e-05	0.005702223279637	0.016606731479307	0.986750354355737	0.996258427684934
Sdhaf4	65.982749080498	-0.0041464995386811	0.0115060247836122	-0.360376378172492	0.718565689057764	0.979645030797898	70.2103760849247	0.0231308713571468	0.0127501116463655	1.81417010287439	0.0696515414714729	0.362762433632462
Fam135a	470.417511967442	-0.000648012453884527	0.00714764735330913	-0.0906609436438575	0.927762005235684	0.993217274220755	439.669225815298	0.00748055977255626	0.00780704935646648	0.958180156291724	0.33797192170274	0.675408484746044
Lmbrd1	1436.98654747748	-0.00606764181660362	0.00584452526879598	-1.0381753072399	0.299188446396496	0.849746214843408	1409.30384654375	0.000335154283240087	0.00746401768266303	0.044902664689362	0.964184892873764	0.992358824758292
Phf3	2870.24951989597	-0.00835330849486151	0.00520634257953521	-1.60444849090342	0.108615229703381	0.635241326602908	2892.49400565107	-0.00434348099172436	0.00600887282023342	-0.722844553657175	0.469775391336612	0.772106088731461
Ptp4a1	24.2834277497769	-0.00684716510826135	0.0167087383950885	-0.409795458301871	0.681955998123444	0.973028111852334	32.5262582011187	0.0249872689324212	0.0163011537764326	1.53285278300647	0.125312131935443	0.45824285695581
Prim2	185.135480110339	0.00097830950227691	0.0109928126707735	0.0889953764861232	0.929085584570703	0.993217274220755	246.163137642841	0.00872844219964015	0.01079448502284	0.808602001964124	0.418744112883171	0.739739091512366
Rab23	85.1158064765942	-0.0112290500277223	0.0102579869281015	-1.09466409992788	0.273663821989855	0.831861226846228	95.2866595447557	0.0130813217864714	0.0108597354565529	1.20457094362994	0.22836897936572	0.577375359454493
Bag2	24.2893545596872	-0.0262472510666885	0.0163157449650986	-1.60870687319731	0.107680452195319	0.634016808091941	28.8786550698441	-0.00427940005290521	0.0187163997963419	-0.228644402741472	0.819145310195342	0.943617444127261
Zfp451	1056.74357714123	-0.00621435543774879	0.00539120470166332	-1.15268400694032	0.24904010816985	0.812627083952345	1120.89397513051	-0.0169536864790549	0.00711415036546805	-2.38309363846844	0.017167826817108	0.190995858134599
Gm15455	16.0546731043299	-0.0283771377962109	0.0217616632404573	-1.30399673419515	0.192234695873697	0.769253363805469	19.5587999193462	0.0149615023151191	0.024085931037356	0.621171848906923	0.534486559585422	0.811441929690697
Bend6	110.713094134318	0.00359764226545249	0.00884090150047025	0.406931608191895	0.684058220136505	0.9733201268228	102.230524194856	-0.0121453533333159	0.0130676801308938	-0.929419239808495	0.352671860723763	0.689628401646625
Dst	266.110564399101	0.0507796354874315	0.0122904202963537	4.13164352910672	3.60178681740239e-05	0.003063459877508	235.703772380191	0.0316533217861594	0.0080286986905837	3.94252207064183	8.06292277587924e-05	0.00782475644157635
Mir5103	33.3502436776851	-0.00468913047637754	0.014763368144198	-0.317619287860161	0.750773741617126	0.982614019067995	22.3213014742096	0.0161890877989323	0.0225991930160831	0.716356897673783	0.473771002267663	0.774755400099598
Ccdc115	469.283533663891	-0.00544117537064692	0.00520356526716411	-1.04566294286385	0.295716677639301	0.846677638532127	545.752629452165	0.0046607427291725	0.0057206510474289	0.814722431158815	0.415231210583497	0.7375132975815
Imp4	363.46842461451	-0.00764191827985321	0.00614252026653398	-1.24410143528355	0.213462232882112	0.790868885200501	414.581264714186	0.00105990296918918	0.00538111164664211	0.196967288320542	0.843853136430733	0.951375576446236
Ptpn18	2815.93048365734	0.00517322727905652	0.00675149680863876	0.766234129361833	0.44353700429149	0.925679516880672	3167.77362883283	0.0108270570851859	0.00643258689669263	1.68315753196474	0.0923445995572234	0.406531260960957
Arhgef4	44.3808645529302	-0.0168708533423343	0.015511575871187	-1.08762987606386	0.276758536083884	0.835656931119794	56.872833646583	-0.00646565603818064	0.0137044286855763	-0.471793183541145	0.637074416822765	0.867840072601882
Fam168b	1667.76767178461	-0.0139059565662383	0.00455220643750101	-3.05477283536204	0.00225231048230232	0.0749222906103563	1904.02495980954	-0.00276066854990034	0.00521233232032608	-0.529641699769371	0.596360376622526	0.847511702500554
Plekhb2	1549.71716202772	-0.00362828887724098	0.00404465557513325	-0.897057563948804	0.369688201297616	0.894557276189325	1677.49636789797	0.00949323622608614	0.00930833336850469	1.01986422813423	0.307792856899312	0.648561207581309
Hs6st1	1753.71797925041	0.0117441820306447	0.00799456439447983	1.46902088108189	0.141827125642408	0.695931547852696	1982.09577674788	-0.000891229398983386	0.00973688117465862	-0.0915313007313795	0.927070436230169	0.981942794348066
Uggt1	5407.15892641986	-0.00520552753272061	0.00589494638189362	-0.883049173900791	0.377209703565774	0.898974266685949	6217.57185005556	0.0138031254150761	0.00648350028056948	2.12896195230267	0.0332574084080724	0.261254959200648
