baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Slc39a10	505.937581506332	-0.0154767470658614	0.00894594910594206	-1.73002851710631	0.0836251803370272	0.390293213664403
Sdpr	5.15044819552352	0.0312779044375597	0.0427879068486179	0.730998703634178	0.464779944768873	0.770110143019359
Nabp1	811.533278024017	0.0119651887292891	0.00945745012008762	1.26516012004917	0.205813935077805	0.557175397819985
Myo1b	383.679649560555	-0.0143459798088004	0.0222423723416889	-0.644984248461289	0.518937393378387	0.801737531168027
Stat4	593.477449309102	-0.0319796467779393	0.0100075487316646	-3.1955524410042	0.00139563417870405	0.0492307913123423
Stat1	2780.04683785751	0.0670403068993961	0.0169048659928154	3.96574021514803	7.31685210483201e-05	0.00732614334560005
Gls	1675.30797867589	-0.00862134554183542	0.00527304481262346	-1.63498431137855	0.102052336494558	0.421990258018796
Nab1	1656.97233180205	0.00250316916345409	0.00581469914821205	0.430489884282969	0.66683932358303	0.881350759870246
Tmem194b	102.134208646755	-0.0182664331520049	0.00861329200366064	-2.12072609917807	0.0339448588545809	0.263977429043595
Mfsd6	2712.32916924516	-0.0180435823149484	0.0105130409480933	-1.71630476890902	0.0861062759418447	0.394164287838285
Inpp1	141.376841978076	-0.00881279559968628	0.0204527684729024	-0.430885217879537	0.666551832249521	0.881207080445222
Hibch	346.044550460808	-0.0073995390127834	0.00982632859734796	-0.753031912120309	0.451430737665349	0.759467953911994
1700019A02Rik	1.60417116847204	-0.0762196246644352	0.0786515234485836	-0.969080080365663	0.332505235527235	NA
Pms1	118.590641490868	-0.000698966534010048	0.0101126095914643	-0.0691183148808616	0.944895442724564	0.987802527793595
Ormdl1	99.442880398112	0.0143886777949037	0.00918963432679354	1.56575085397595	0.117406955809197	0.444673117528918
Osgepl1	76.8684416681589	-0.00858201014059748	0.0097746671785074	-0.877984895431289	0.379951915737043	0.712019894665365
Asnsd1	871.163608603679	0.00647269495501034	0.0054580544055362	1.18589784455885	0.235662644497311	0.586414185991732
Stk17b	1210.66978191369	0.0447706741299248	0.0291425675563226	1.53626388764128	NA	NA
Hecw2	5.97792293548511	0.0690401970580455	0.0627159140525942	1.10084016315457	0.270966228292971	0.620795415112858
Ccdc150	1.47421393813574	0.0198517899228814	0.0855469618380282	0.232057217420159	0.816493573426639	NA
Gtf3c3	404.872063901955	0.00748480408060264	0.00603825565675961	1.23956395788305	0.215136718640571	0.566040634487892
Pgap1	540.572002185382	-0.00198519945868249	0.00565319337505165	-0.35116425831875	0.725465122454125	0.904492237090806
Ankrd44	2868.87820467257	-0.000936749945209169	0.00725522179909592	-0.129113894950241	0.897267527457568	0.971084080501387
Sf3b1	4943.34218193204	-0.00793798635915122	0.00502153754341367	-1.58078801373552	0.113926516080389	0.43958580164002
Coq10b	57.4654222121023	-0.0116155000453042	0.0155555456790085	-0.746711191300656	0.455237912885476	0.761906993437444
Hspd1	1152.58212144149	-0.0123121657696629	0.00782691995101079	-1.57305374869368	0.115706373184166	0.442509891859351
