baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F
Ankrd44	2843.11649326882	-0.0102481980884584	0.00634303598094875	-1.61566135195177	0.106167551284761	0.631666626347799
Sf3b1	4521.17284312756	-0.00642120324254154	0.00444212616496426	-1.4455247338958	0.148310550730418	0.710774866106519
Coq10b	46.2250097288479	0.0189382953558556	0.0170825651941798	1.10863299162517	0.26758853966953	0.827130685663816
Hspd1	1047.46760090316	-0.016078940026155	0.00974602419152937	-1.64979479941469	0.0989849128176186	0.617624947724374
Hspe1	201.046307220781	-0.0129062532824528	0.00931566867476842	-1.38543498411548	0.165919499907308	0.736107549750091
Mob4	256.148694442041	0.000842974749137716	0.00704469850405205	0.119660869610366	0.904751799093215	0.991237894840908
Rftn2	27.9335712860607	0.00603647352228062	0.0165178968385828	0.365450491746657	0.714775156674618	0.978757577602688
Mars2	67.3522814371198	0.0186645339100592	0.0108853791521922	1.71464251718788	0.0864107885163093	0.583468932242419
Plcl1	33.2939556082624	-0.047767762193697	0.0156953575432005	-3.04343256037457	0.00233895860068492	0.0765810599309725
Satb2	62.206155710459	0.00236514719419777	0.0107898285510814	0.219201554779174	0.826493044396256	0.987968784504582
9130024F11Rik	5.58775564138077	0.0249718684353648	0.03415531377696	0.731126892829483	0.464701649318166	0.933626627521255
4930558J18Rik	2.97785513495906	0.0656251880546364	0.0539295208967947	1.21686948007982	0.22365387931768	0.799258824999019
1700066M21Rik	86.5215330081768	-0.00181663133248967	0.010460279697262	-0.173669479695192	0.862125224659557	0.98925529157635
Tyw5	71.6115604124437	0.00564202222394307	0.0132576334414504	0.425567824669457	0.670422789754254	0.970009769372403
9430016H08Rik	87.546279771542	-0.00596766948932894	0.0113007269682604	-0.52807837107205	0.597444942109331	0.960512457371282
Kctd18	207.756875169268	0.000567098673587891	0.00842634594501981	0.0673006635720981	0.946342348634242	0.994394369015926
Sgol2a	75.9208925226851	0.0134034964603694	0.0218893785589163	0.612328779654168	0.540320252134916	0.947939113965855
Aox1	8.60004345183058	0.0605555587068673	0.0326807228056014	1.85294428972937	0.0638903440977599	0.515507208677866
Aox3	1.81815160872161	-0.0305573788663823	0.0638917384624675	-0.478268076620468	0.632459414646395	0.963922889720264
Bzw1	1557.85573546877	-0.00966337746912725	0.00456635448016876	-2.11621272748193	0.0343267192320671	0.394798963540309
Clk1	3407.17043022248	-0.00496837604022691	0.00815835007570681	-0.608992749038962	0.542529245086548	0.949142184654432
Ppil3	154.827759991797	-0.00817878330410074	0.00832973886752218	-0.981877515511318	0.326160194001661	0.866767837247458
Nif3l1	129.835282826398	-0.00581407982138717	0.00993407059932323	-0.585266609820879	0.558368462655825	0.952395427358405
Orc2	240.019632410882	0.00315329245702742	0.00721029390917717	0.43733202789611	0.661870571188401	0.968794782453116
Fam126b	329.141824523923	-0.0104823479721983	0.00746169519926674	-1.4048212493628	0.160074438656386	0.727455766580195
Ndufb3	101.314755993607	-0.00159533096858789	0.0105704744504298	-0.150923307753989	0.880036214154524	0.991237894840908
Gm20257	62.0525460711607	0.0158785241847766	0.0118772571189731	1.33688477278241	0.181260251996375	0.754955118692325
Als2cr12	0.846713351526883	-0.0573916066183388	0.0881097071499358	-0.65136530894009	0.514810698997381	NA
Cflar	3663.80762060592	-0.00852062189648487	0.00434955163066285	-1.95896557162752	0.0501168188667535	0.468180055065252
Casp8	1809.04006533406	0.00225884801496755	0.00335641650953718	0.672993953089281	0.500951137922228	0.940301818813928
Trak2	1500.09016257744	-0.0104530919016718	0.00554425576532138	-1.88539135713302	0.0593770200397509	0.503090077408087
Stradb	134.109016188475	-4.5609094240991e-05	0.0103867424986975	-0.00439108741231532	0.996496430407681	0.999578023057929
Tmem237	110.488257305528	-0.00150211025834811	0.00924798045775561	-0.162425760435988	0.870970586288872	0.990528776747727
Mpp4	3.85966948338238	-0.0275628512004287	0.0442653267642259	-0.622673618727339	0.533499022334845	0.947692242600344
Als2	499.793252912823	-0.00286462286203512	0.00496158497612129	-0.577360435389445	0.563695995473454	0.953225697303159
Fzd7	520.488071196425	0.010614263375919	0.00723381191991581	1.46731259997185	0.142291037672531	0.696211470582375
Sumo1	407.763160268707	0.00107388080958755	0.00588980717219655	0.182328687203363	0.855324786863548	0.98925529157635
Nop58	475.974028105509	-0.0110026329376445	0.0126470458340143	-0.869976521161402	0.384313235262219	0.903311449454789
Snord70	1.99961661153672	0.0934126586622253	0.0652571607341233	1.43145453481827	0.152299988349058	0.716592698055117
Snord11	1.90077639253064	-0.0301498059217274	0.060399501336368	-0.499173093397271	0.617657448055428	0.963294338067616
Bmpr2	2471.04453473483	-0.0104954305840538	0.003978384630546	-2.63811359602337	0.00833686499447477	0.180238706821187
Fam117b	2869.09143835213	-0.0109465625589602	0.00522698314070347	-2.09424103049374	0.0362385144335363	0.400627203080924
Ica1l	31.364725202257	-0.0372644387277473	0.0213308489585413	-1.74697400934087	0.0806418466079453	0.568737233971825
Wdr12	273.198791660664	-0.0130466713440887	0.00809007984994623	-1.61267522522357	0.106815085756217	0.632927815086722
Carf	201.664042472328	-0.00275411020534564	0.00848129234124843	-0.324727658773314	0.745387199455489	0.980760438219207
